grupo,url,file,size_mb,status
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2017/TAXA_REND_2017_BRASIL_REGIOES_UFS.zip,TAXA_REND_2017_BRASIL_REGIOES_UFS.zip,0.40352,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2017/TAXA_REND_2017_MUNICIPIOS.zip,TAXA_REND_2017_MUNICIPIOS.zip,29.838374,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2017/TAXA_REND_2017_ESCOLAS.zip,TAXA_REND_2017_ESCOLAS.zip,62.879373,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2018/TX_REND_BRASIL_REGIOES_UFS_2018.zip,TX_REND_BRASIL_REGIOES_UFS_2018.zip,0.369426,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2018/TX_REND_MUNICIPIOS_2018.zip,TX_REND_MUNICIPIOS_2018.zip,30.16246,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2018/TX_REND_ESCOLAS_2018.zip,TX_REND_ESCOLAS_2018.zip,61.72836,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2019/tx_rend_brasil_regioes_ufs_2019.zip,tx_rend_brasil_regioes_ufs_2019.zip,0.367101,skipped
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2019/tx_rend_municipios_2019.zip,tx_rend_municipios_2019.zip,29.418757,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2019/tx_rend_escolas_2019.zip,tx_rend_escolas_2019.zip,60.826063,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2020/tx_rend_brasil_regioes_ufs_2020.zip,tx_rend_brasil_regioes_ufs_2020.zip,0.381215,skipped
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2020/tx_rend_municipios_2020.zip,tx_rend_municipios_2020.zip,31.782123,skipped
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2020/tx_rend_escolas_2020.zip,tx_rend_escolas_2020.zip,65.567019,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2021/tx_rend_brasil_regioes_ufs_2021.zip,tx_rend_brasil_regioes_ufs_2021.zip,0.400223,skipped
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2021/tx_rend_municipios_2021.zip,tx_rend_municipios_2021.zip,33.942286,skipped
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2021/tx_rend_escolas_2021.zip,tx_rend_escolas_2021.zip,69.251035,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2022/tx_rend_brasil_regioes_ufs_2022.zip,tx_rend_brasil_regioes_ufs_2022.zip,0.407358,skipped
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2022/tx_rend_municipios_2022.zip,tx_rend_municipios_2022.zip,35.558134,skipped
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2022/tx_rend_escolas_2022.zip,tx_rend_escolas_2022.zip,72.330158,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2023/tx_rend_brasil_regioes_ufs_2023.zip,tx_rend_brasil_regioes_ufs_2023.zip,0.389928,skipped
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2023/tx_rend_municipios_2023.zip,tx_rend_municipios_2023.zip,34.53878,skipped
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2023/tx_rend_escolas_2023.zip,tx_rend_escolas_2023.zip,70.080905,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2024/tx_rend_brasil_regioes_ufs_2024.zip,tx_rend_brasil_regioes_ufs_2024.zip,0.388235,skipped
rendimento,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/2024/tx_rend_municipios_2024.zip,tx_rend_municipios_2024.zip,34.487202,skipped
