ano_str,unidade,valor,indicador,etapa,ano_t,ano_t1
2007/2008,Alagoas,63.3,promocao,EF_AF,2007,2008
2007/2008,Sergipe,65.4,promocao,EF_AF,2007,2008
2007/2008,Bahia,64.2,promocao,EF_AF,2007,2008
2007/2008,Minas Gerais,76.1,promocao,EF_AF,2007,2008
2007/2008,Espírito Santo,77.0,promocao,EF_AF,2007,2008
2007/2008,Rio de Janeiro,77.0,promocao,EF_AF,2007,2008
2007/2008,São Paulo,88.2,promocao,EF_AF,2007,2008
2007/2008,Paraná,80.6,promocao,EF_AF,2007,2008
2007/2008,Santa Catarina,82.3,promocao,EF_AF,2007,2008
2007/2008,Rio Grande do Sul,74.6,promocao,EF_AF,2007,2008
2007/2008,Mato Grosso do Sul,72.1,promocao,EF_AF,2007,2008
2007/2008,Mato Grosso,77.8,promocao,EF_AF,2007,2008
2007/2008,Goiás,77.3,promocao,EF_AF,2007,2008
2007/2008,Distrito Federal,74.0,promocao,EF_AF,2007,2008
2007/2008,Brasil,91.7,promocao,EF_1,2007,2008
2007/2008,Norte,90.2,promocao,EF_1,2007,2008
2007/2008,Nordeste,86.9,promocao,EF_1,2007,2008
2007/2008,Sudeste,93.9,promocao,EF_1,2007,2008
2007/2008,Sul,95.8,promocao,EF_1,2007,2008
2007/2008,Centro-Oeste,93.7,promocao,EF_1,2007,2008
2007/2008,Rondônia,95.6,promocao,EF_1,2007,2008
2007/2008,Acre,88.5,promocao,EF_1,2007,2008
2007/2008,Amazonas,91.5,promocao,EF_1,2007,2008
2007/2008,Roraima,94.2,promocao,EF_1,2007,2008
2007/2008,Pará,84.2,promocao,EF_1,2007,2008
2007/2008,Amapá,85.3,promocao,EF_1,2007,2008
2007/2008,Tocantins,91.9,promocao,EF_1,2007,2008
2007/2008,Maranhão,87.0,promocao,EF_1,2007,2008
2007/2008,Piauí,84.0,promocao,EF_1,2007,2008
2007/2008,Ceará,87.7,promocao,EF_1,2007,2008
2007/2008,Rio Grande do Norte,88.0,promocao,EF_1,2007,2008
2007/2008,Paraíba,82.6,promocao,EF_1,2007,2008
2007/2008,Pernambuco,87.6,promocao,EF_1,2007,2008
2007/2008,Alagoas,91.1,promocao,EF_1,2007,2008
2007/2008,Sergipe,91.6,promocao,EF_1,2007,2008
2007/2008,Bahia,86.1,promocao,EF_1,2007,2008
2007/2008,Minas Gerais,95.8,promocao,EF_1,2007,2008
2007/2008,Espírito Santo,96.4,promocao,EF_1,2007,2008
2007/2008,Rio de Janeiro,87.8,promocao,EF_1,2007,2008
2007/2008,São Paulo,97.5,promocao,EF_1,2007,2008
2007/2008,Paraná,96.4,promocao,EF_1,2007,2008
2007/2008,Santa Catarina,94.7,promocao,EF_1,2007,2008
2007/2008,Rio Grande do Sul,96.1,promocao,EF_1,2007,2008
2007/2008,Mato Grosso do Sul,95.6,promocao,EF_1,2007,2008
2007/2008,Mato Grosso,91.3,promocao,EF_1,2007,2008
2007/2008,Goiás,93.4,promocao,EF_1,2007,2008
2007/2008,Distrito Federal,96.5,promocao,EF_1,2007,2008
2007/2008,Brasil,78.8,promocao,EF_2,2007,2008
2007/2008,Norte,63.7,promocao,EF_2,2007,2008
2007/2008,Nordeste,69.8,promocao,EF_2,2007,2008
2007/2008,Sudeste,91.0,promocao,EF_2,2007,2008
2007/2008,Sul,84.9,promocao,EF_2,2007,2008
2007/2008,Centro-Oeste,84.0,promocao,EF_2,2007,2008
2007/2008,Rondônia,76.3,promocao,EF_2,2007,2008
2007/2008,Acre,63.1,promocao,EF_2,2007,2008
2007/2008,Amazonas,69.3,promocao,EF_2,2007,2008
2007/2008,Roraima,78.5,promocao,EF_2,2007,2008
2007/2008,Pará,57.2,promocao,EF_2,2007,2008
2007/2008,Amapá,68.8,promocao,EF_2,2007,2008
2007/2008,Tocantins,79.6,promocao,EF_2,2007,2008
2007/2008,Maranhão,71.1,promocao,EF_2,2007,2008
2007/2008,Piauí,61.7,promocao,EF_2,2007,2008
2007/2008,Ceará,80.6,promocao,EF_2,2007,2008
2007/2008,Rio Grande do Norte,86.7,promocao,EF_2,2007,2008
2007/2008,Paraíba,65.5,promocao,EF_2,2007,2008
2007/2008,Pernambuco,71.0,promocao,EF_2,2007,2008
2007/2008,Alagoas,70.9,promocao,EF_2,2007,2008
2007/2008,Sergipe,63.1,promocao,EF_2,2007,2008
2007/2008,Bahia,65.4,promocao,EF_2,2007,2008
2007/2008,Minas Gerais,89.3,promocao,EF_2,2007,2008
2007/2008,Espírito Santo,81.6,promocao,EF_2,2007,2008
2007/2008,Rio de Janeiro,87.4,promocao,EF_2,2007,2008
2007/2008,São Paulo,94.3,promocao,EF_2,2007,2008
2007/2008,Paraná,89.5,promocao,EF_2,2007,2008
2007/2008,Santa Catarina,81.1,promocao,EF_2,2007,2008
2007/2008,Rio Grande do Sul,81.1,promocao,EF_2,2007,2008
2007/2008,Mato Grosso do Sul,73.3,promocao,EF_2,2007,2008
2007/2008,Mato Grosso,85.6,promocao,EF_2,2007,2008
2007/2008,Goiás,84.6,promocao,EF_2,2007,2008
2007/2008,Distrito Federal,88.7,promocao,EF_2,2007,2008
2007/2008,Brasil,80.8,promocao,EF_3,2007,2008
2007/2008,Norte,70.9,promocao,EF_3,2007,2008
2007/2008,Nordeste,72.9,promocao,EF_3,2007,2008
2007/2008,Sudeste,88.4,promocao,EF_3,2007,2008
2007/2008,Sul,86.9,promocao,EF_3,2007,2008
2007/2008,Centro-Oeste,84.1,promocao,EF_3,2007,2008
2007/2008,Rondônia,81.6,promocao,EF_3,2007,2008
2007/2008,Acre,76.5,promocao,EF_3,2007,2008
2007/2008,Amazonas,66.2,promocao,EF_3,2007,2008
2007/2008,Roraima,85.2,promocao,EF_3,2007,2008
2007/2008,Pará,67.9,promocao,EF_3,2007,2008
2007/2008,Amapá,74.2,promocao,EF_3,2007,2008
2007/2008,Tocantins,84.5,promocao,EF_3,2007,2008
2007/2008,Maranhão,73.2,promocao,EF_3,2007,2008
2007/2008,Piauí,70.1,promocao,EF_3,2007,2008
2007/2008,Ceará,79.8,promocao,EF_3,2007,2008
2007/2008,Rio Grande do Norte,81.7,promocao,EF_3,2007,2008
