idade,pop,ano,share
4,2996304.82286386,2012,0.0431385049646949
5,3019933.35115498,2012,0.04347869044155858
6,3112252.58418543,2012,0.04480783214370838
7,3076356.75003096,2012,0.04429103138029191
8,3053308.58529442,2012,0.04395920153396672
9,3230552.72933361,2012,0.04651102714571794
10,3014237.55057583,2012,0.043396686661540396
11,3313149.39199198,2012,0.04770019071644895
12,3653840.62454494,2012,0.05260520248787033
13,3398350.43288739,2012,0.04892685013294678
14,3536909.9397444,2012,0.05092172392844525
15,3538876.18176152,2012,0.050950032377028345
16,3499928.7761046,2012,0.05038929742126802
17,3561009.09630904,2012,0.051268685151207305
18,3308994.73387132,2012,0.04764037512672754
19,3187845.27220997,2012,0.04589615784500482
20,3390550.78399139,2012,0.0488145567540971
21,3226957.06031471,2012,0.04645925945351266
22,3379002.67180608,2012,0.04864829586800918
23,3505791.4648898,2012,0.05047370393002406
24,3453628.01899896,2012,0.04972269453593083
4,3104162.74554027,2013,0.044994055660372526
5,2997804.0772610498,2013,0.043452413603301376
6,2981789.88216701,2013,0.043220291886599344
7,3092768.62811565,2013,0.044828900803610995
8,3098607.68686745,2013,0.044913536486730424
9,3090835.72558867,2013,0.04480088386925085
10,3080197.72037622,2013,0.044646688668199624
11,3083835.74525932,2013,0.044699420920823685
12,3407938.09755294,2013,0.04939720273001124
13,3571490.43681196,2013,0.05176785261509763
14,3397508.70357382,2013,0.04924603129614404
15,3508168.5363858,2013,0.05085001764771762
16,3464338.78066694,2013,0.0502147163990224
17,3495870.01375366,2013,0.05067175366569997
18,3438822.12522086,2013,0.049844858917465755
19,3296921.84039956,2013,0.04778805009755285
20,3373510.03260294,2013,0.04889817661649167
21,3318534.96756585,2013,0.04810132692175026
22,3295958.96775561,2013,0.04777409350155994
23,3342688.60189872,2013,0.04845142775622963
24,3548754.43017751,2013,0.05143829993636815
4,3041357.9907369902,2014,0.04449507322465055
5,2971042.07315869,2014,0.043466351215918256
6,2962432.74393784,2014,0.04334039671294178
7,3072046.50357131,2014,0.044944046226144466
8,3003116.29758916,2014,0.04393559718071565
9,3042838.38175109,2014,0.04451673134801982
10,3060745.6150367,2014,0.0447787142052569
11,3144585.78835986,2014,0.046005296101417514
12,3222602.56256134,2014,0.047146681657283855
13,3461855.03404662,2014,0.05064694577296479
14,3571989.38824623,2014,0.052258211585666355
15,3335236.88442358,2014,0.04879452200167382
16,3435850.40272971,2014,0.050266497967034
17,3415229.33818701,2014,0.0499648117533123
18,3456917.57614274,2014,0.050574710754382336
19,3306195.4102817,2014,0.0483696451794022
20,3459372.33646809,2014,0.05061062390263982
21,3339157.189755,2014,0.04885187607617469
22,3303309.38540239,2014,0.04832742262989498
23,3380864.60019311,2014,0.049462055570698625
24,3365945.48820808,2014,0.04924378893380733
4,3027738.68143391,2015,0.04471319416488998
5,2924847.38498096,2015,0.04319371081436542
6,2907381.44509238,2015,0.04293577641391692
7,2941400.5226837,2015,0.04343816508800513
8,3000133.18960478,2015,0.044305520370667886
9,3054134.45764436,2015,0.04510300305892303
10,3103905.0091636,2015,0.04583800715535301
11,3070695.84754364,2015,0.04534757919977289
12,3239559.31030319,2015,0.04784132968227741
13,3246277.83299385,2015,0.04794054782531294
14,3363752.88341251,2015,0.04967540188359388
15,3526878.06973179,2015,0.05208441035377781
16,3401816.61633735,2015,0.05023752142559572
17,3413969.63014548,2015,0.05041699532452353
18,3354974.29165906,2015,0.049545760947282816
19,3299828.5087195,2015,0.048731376233347175
20,3611818.70541324,2015,0.05333880101800619
21,3303739.54223091,2015,0.04878913379408166
22,3315130.77942243,2015,0.04895735788932674
23,3246039.35371981,2015,0.047937025998891845
24,3360636.61923554,2015,0.04962938135808803
4,2945388.52572869,2016,0.043945827009683816
5,2860474.40766631,2016,0.0426788901996662
6,2836171.14276155,2016,0.04231628028727412
7,3002644.37242161,2016,0.04480009649300692
8,2860963.20019089,2016,0.04268618308871672
9,3078227.87696983,2016,0.045927818552982
10,3090240.36936652,2016,0.04610704750977624
11,3087227.48972801,2016,0.04606209470092322
12,3107495.74967742,2016,0.046364501476037455
13,3189694.39123326,2016,0.047590922795564476
14,3139275.35990008,2016,0.04683866006023805
15,3448002.05410127,2016,0.05144492839398207
16,3548627.99468191,2016,0.0529462889577296
17,3392487.61619875,2016,0.050616641102409765
18,3430784.84976843,2016,0.051188044021481784
19,3177635.12535725,2016,0.04741099596845097
20,3532884.11323636,2016,0.052711386877945084
21,3406964.88139287,2016,0.050832644996713215
22,3417873.98126026,2016,0.050995411100884507
23,3263767.71572115,2016,0.04869611264591594
24,3206336.30841083,2016,0.04783922376061765
4,2991861.44165862,2017,0.04500804791969081
5,2848696.46993519,2017,0.0428543466091859
6,2850493.28148799,2017,0.042881376931962555
7,2979836.36976289,2017,0.04482714882971802
8,2915340.75333761,2017,0.04385690944822122
9,2949063.12549158,2017,0.0443642117319226
10,2985344.41145212,2017,0.044910009018642776
11,3077449.24518158,2017,0.046295587479065245
12,3063635.82584327,2017,0.046087785396102206
13,3151184.51753181,2017,0.04740482356369849
14,3085205.79287031,2017,0.04641227305320473
15,3250666.14759861,2017,0.04890137481130349
16,3388048.76098728,2017,0.05096808925223085
17,3454354.92994415,2017,0.051965565668828366
18,3382952.95960608,2017,0.050891430597668576
19,3302295.40900825,2017,0.04967805926574637
20,3410664.53064892,2017,0.051308309434388584
21,3398558.48887643,2017,0.05112619227460729
22,3407418.07137842,2017,0.05125947134570524
23,3348953.90077511,2017,0.050379965979761555
24,3231897.00834208,2017,0.048619021388345195
4,3015920.88547833,2018,0.04578938052219143
5,2860900.79884229,2018,0.043435779746475146
6,2822885.31033949,2018,0.04285860755433536
7,2967423.3250243,2018,0.04505306371072594
8,2908328.2883364,2018,0.044155850148226955
9,2914278.27747449,2018,0.04424618617728486
10,3062121.95338539,2018,0.046490830712451456
11,2970666.04928291,2018,0.04510229654561925
12,3074134.31530822,2018,0.04667320904130723
13,2983230.68203634,2018,0.045293059755966904
14,3081249.86485585,2018,0.046781241253766696
15,3201501.01184995,2018,0.04860696073946518
16,3184237.72195573,2018,0.04834485991519042
17,3323347.89021682,2018,0.0504569075022752
18,3509489.27584639,2018,0.053283009068320945
19,3248523.2352949,2018,0.049320878167699984
20,3431201.07682222,2018,0.05209439428973857
21,3249765.90921405,2018,0.049339745131095125
