trim_t,trim_t1,n,pct
1,1,143149,20.19251792512847
2,1,164214,23.16393505059097
2,2,4672,0.659029708528877
3,1,192277,27.122486144436404
3,2,5957,0.8402910902625257
3,3,1932,0.2725268400851435
4,1,188908,26.647256887579857
4,2,5433,0.7663759431586876
4,3,1709,0.24107058473370094
4,4,670,0.09450982549536549
