Ano,completed_ef,completed_em,n
2012,0.8144773138538399,0.5801171735575666,216787.0
2013,0.8248581824037813,0.5928570742881777,216420.0
2014,0.8346116138623642,0.6026706531909393,213076.0
2015,0.8437529684398123,0.6150344498245583,210575.0
2016,0.853949700200705,0.6337349159711478,212727.0
2017,0.8604212879620985,0.6412439344962853,212847.0
2018,0.870706658208304,0.661568217923041,207032.0
2019,0.8832146011406383,0.6819712436132884,200734.0
2020,0.9027109372715175,0.7200618139121524,138771.0
2021,0.902744101360632,0.716617927805908,136989.0
2022,0.9070586291366595,0.7235111468150733,164541.0
2023,0.914371338715821,0.7361286030391349,156631.0
2024,0.9194915096133591,0.7480783112594819,152844.0
