ano_t,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_migracao_eja,flag_naoprog,n_pessoa
2012,EF finais,0.7364618421091079,0.15901375107521515,0.03163236131893294,0.015368077455529025,0.2060141898496771,10375
2012,EF iniciais,0.7731417307587034,0.1700843007273647,0.010809169119834022,0.0032746118096741825,0.18416808165687287,13651
2012,EM,0.47551327020677703,0.14428085819540176,0.2534588125710409,0.011184766339686602,0.4089244371061293,6672
2013,EF finais,0.7386176436147697,0.1664302245082322,0.03244720932644014,0.013530070397984073,0.21240750423265642,9790
2013,EF iniciais,0.7881032336428153,0.15933790063594575,0.010376402754937692,0.0024328764995393396,0.17214717989042277,12364
2013,EM,0.4779403295545432,0.14822623691360753,0.2540222194463455,0.00887300561622045,0.4111214619761735,6260
2014,EF finais,0.7617873326450008,0.16099919314547934,0.026536024221666354,0.009060187890268957,0.19659540525741465,9865
2014,EF iniciais,0.8073308326335287,0.1465861310370841,0.007748605235730313,0.001211798222009476,0.1555465344948239,12343
2014,EM,0.4939088294684088,0.1563034261805707,0.24453056520083624,0.011934679188349177,0.4127686705697561,6518
2015,EF finais,0.7630338959078682,0.1613205926224581,0.02379506780807769,0.014887153705711146,0.20000281413624693,10447
2015,EF iniciais,0.8049120265050242,0.15544064987863968,0.005722362894624091,0.00197066504757434,0.16313367782083812,13151
2015,EM,0.48492043827055603,0.16740186183661734,0.22731140198814812,0.016257224974272927,0.4109704887990384,6978
2016,EF finais,0.7745682113980549,0.15090883080751435,0.021234071822859375,0.015113931103924902,0.18725683373429863,10699
2016,EF iniciais,0.8229916656271983,0.14302693597666008,0.005024791119559863,0.0023719034227097087,0.15042363051892965,13105
2016,EM,0.49814068633933956,0.14838808473838278,0.24020192563733078,0.02199057383459388,0.4105805842103074,7293
2017,EF finais,0.7865114087656739,0.14898180270926598,0.020016100008162886,0.01478897761203183,0.1837868803294607,10553
2017,EF iniciais,0.8486774162929333,0.12551531014498601,0.005566710362848508,0.002286992235458577,0.1333690127432931,12721
2017,EM,0.4969435446696662,0.12677515439794523,0.2561368778843408,0.025696133609780403,0.40860816589206644,6706
2018,EF finais,0.8018859757749779,0.133953440786927,0.021116350640255008,0.019364801738977144,0.17443459316615917,10110
2018,EF iniciais,0.8574112719336936,0.1160155012644059,0.004349646087711878,0.0027023990934434677,0.12306754644556125,12424
2018,EM,0.5150682948739337,0.11965043605801456,0.2529734104125787,0.020376181206583945,0.3930000276771772,6678
2019,EF finais,0.8110518796695806,0.13803307461467137,0.013417738996873044,0.007795670305842069,0.15924648391738647,8468
2019,EF iniciais,0.8554939149757184,0.11800530942113645,0.0035268698605677817,0.0007749054168822345,0.12230708469858646,10055
2019,EM,0.5035014960129378,0.13401258174323855,0.2527565160077777,0.012802182925844986,0.3995712806768612,5692
2020,EF finais,0.729023184224217,0.2454562844411183,0.008365599947127602,0.005097161739591278,0.25891904612783717,5424
2020,EF iniciais,0.758194397068384,0.2157616005465369,0.003920278103351044,2.791502881936762e-05,0.21970979367870733,6357
2020,EM,0.46625260967926074,0.28756707886730104,0.1800893149125983,0.008366772560290163,0.47602316634018954,3541
2021,EF finais,0.8029762183076614,0.15863175686928213,0.020388919983378224,0.004435858857174728,0.18345653570983508,7463
2021,EF iniciais,0.8212805181704437,0.15840311491115588,0.00227685810228172,0.0006301183625565272,0.16131009137599414,8088
2021,EM,0.5012554044342334,0.1648709872891273,0.2565447248212168,0.010872624596126207,0.4322883367064703,4815
2022,EF finais,0.7123240995385923,0.2594683022647453,0.013333347474638964,0.0038289880506224144,0.2766306377900067,8172
2022,EF iniciais,0.7295556121719144,0.2539107279942574,0.001436222892161946,0.0002034354319108279,0.2555503863183302,9629
2022,EM,0.45757495977208484,0.25255812141834105,0.20262032679794295,0.0045080052911239486,0.459686453507408,5473
2023,EF finais,0.7006300313067919,0.27562161856037704,0.008665747834609152,0.003682597276300703,0.28796996367128685,8624
2023,EF iniciais,0.7240843661343462,0.26059079416782016,0.0027528296472772045,0.00031283103777191685,0.2636564548528693,10164
2023,EM,0.4599825563757962,0.26411466365224956,0.19344685948378354,0.004826626672615696,0.46238814980864884,5536
