macroetapa_t,distorted,prom,rep,evas,eja,n
EF finais,0,0.7761755194458834,0.2010876697611816,0.003666327460568525,0.0021703911422744386,29346.0
EF finais,1,0.6324039033769319,0.21987983429636027,0.07336791186085098,0.045778423951609734,6028.0
EF iniciais,0,0.7952264258143482,0.187409789294244,0.0005875527985579489,0.0,38619.0
EF iniciais,1,0.7298411468940419,0.2034236767983742,0.03266164112154164,0.013337734838794678,3653.0
EM,0,0.512464757387991,0.19472191999704624,0.19601875067999303,0.003054710943265859,19097.0
EM,1,0.3398568586137573,0.18622006023582055,0.3712881673948251,0.04909118748649536,4282.0
