ano,trim,macroetapa,categoria,valor,freq,n
2016,4,EF finais,sexo,Homem,1.0,16115
2016,4,EF finais,sexo,Mulher,1.0,14827
2016,4,EF iniciais,sexo,Homem,1.0,20438
2016,4,EF iniciais,sexo,Mulher,1.0,18155
2016,4,EM,sexo,Homem,1.0,10041
2016,4,EM,sexo,Mulher,1.0,9986
2017,1,EF finais,sexo,Homem,1.0,16652
2017,1,EF finais,sexo,Mulher,1.0,14781
2017,1,EF iniciais,sexo,Homem,1.0,19741
2017,1,EF iniciais,sexo,Mulher,1.0,17690
2017,1,EM,sexo,Homem,1.0,10690
2017,1,EM,sexo,Mulher,1.0,10603
2017,2,EF finais,sexo,Homem,1.0,16335
2017,2,EF finais,sexo,Mulher,1.0,14657
2017,2,EF iniciais,sexo,Homem,1.0,19737
2017,2,EF iniciais,sexo,Mulher,1.0,17804
2017,2,EM,sexo,Homem,1.0,10258
2017,2,EM,sexo,Mulher,1.0,10170
2017,3,EF finais,sexo,Homem,1.0,16172
2017,3,EF finais,sexo,Mulher,1.0,14534
2017,3,EF iniciais,sexo,Homem,1.0,19729
2017,3,EF iniciais,sexo,Mulher,1.0,17834
2017,3,EM,sexo,Homem,1.0,9687
2017,3,EM,sexo,Mulher,1.0,9830
2017,4,EF finais,sexo,Homem,1.0,15726
2017,4,EF finais,sexo,Mulher,1.0,14243
2017,4,EF iniciais,sexo,Homem,1.0,19422
2017,4,EF iniciais,sexo,Mulher,1.0,17482
2017,4,EM,sexo,Homem,1.0,9390
2017,4,EM,sexo,Mulher,1.0,9488
2018,1,EF finais,sexo,Homem,1.0,15812
2018,1,EF finais,sexo,Mulher,1.0,14346
2018,1,EF iniciais,sexo,Homem,1.0,19044
2018,1,EF iniciais,sexo,Mulher,1.0,17038
2018,1,EM,sexo,Homem,1.0,10011
2018,1,EM,sexo,Mulher,1.0,9852
2018,2,EF finais,sexo,Homem,1.0,15305
2018,2,EF finais,sexo,Mulher,1.0,14321
2018,2,EF iniciais,sexo,Homem,1.0,18966
2018,2,EF iniciais,sexo,Mulher,1.0,17220
2018,2,EM,sexo,Homem,1.0,9442
2018,2,EM,sexo,Mulher,1.0,9501
2018,3,EF finais,sexo,Homem,1.0,15234
2018,3,EF finais,sexo,Mulher,1.0,14139
2018,3,EF iniciais,sexo,Homem,1.0,19116
2018,3,EF iniciais,sexo,Mulher,1.0,17623
2018,3,EM,sexo,Homem,1.0,9314
2018,3,EM,sexo,Mulher,1.0,9345
2018,4,EF finais,sexo,Homem,1.0,14950
2018,4,EF finais,sexo,Mulher,1.0,13888
2018,4,EF iniciais,sexo,Homem,1.0,18827
2018,4,EF iniciais,sexo,Mulher,1.0,17173
2018,4,EM,sexo,Homem,1.0,8950
2018,4,EM,sexo,Mulher,1.0,8974
2019,1,EF finais,sexo,Homem,1.0,15198
2019,1,EF finais,sexo,Mulher,1.0,13959
2019,1,EF iniciais,sexo,Homem,1.0,18139
2019,1,EF iniciais,sexo,Mulher,1.0,16737
2019,1,EM,sexo,Homem,1.0,9698
2019,1,EM,sexo,Mulher,1.0,9619
2019,2,EF finais,sexo,Homem,1.0,15155
2019,2,EF finais,sexo,Mulher,1.0,13829
2019,2,EF iniciais,sexo,Homem,1.0,18253
2019,2,EF iniciais,sexo,Mulher,1.0,16771
2019,2,EM,sexo,Homem,1.0,9468
2019,2,EM,sexo,Mulher,1.0,9410
2019,3,EF finais,sexo,Homem,1.0,15249
2019,3,EF finais,sexo,Mulher,1.0,13815
2019,3,EF iniciais,sexo,Homem,1.0,18622
2019,3,EF iniciais,sexo,Mulher,1.0,16993
2019,3,EM,sexo,Homem,1.0,9233
2019,3,EM,sexo,Mulher,1.0,9271
2019,4,EF finais,sexo,Homem,1.0,14857
2019,4,EF finais,sexo,Mulher,1.0,13630
2019,4,EF iniciais,sexo,Homem,1.0,18180
2019,4,EF iniciais,sexo,Mulher,1.0,16390
2019,4,EM,sexo,Homem,1.0,8737
2019,4,EM,sexo,Mulher,1.0,8707
2020,1,EF finais,sexo,Homem,1.0,13394
2020,1,EF finais,sexo,Mulher,1.0,12210
2020,1,EF iniciais,sexo,Homem,1.0,15703
2020,1,EF iniciais,sexo,Mulher,1.0,14500
2020,1,EM,sexo,Homem,1.0,8467
2020,1,EM,sexo,Mulher,1.0,8402
2020,2,EF finais,sexo,Homem,1.0,10469
2020,2,EF finais,sexo,Mulher,1.0,9510
2020,2,EF iniciais,sexo,Homem,1.0,12107
2020,2,EF iniciais,sexo,Mulher,1.0,11242
2020,2,EM,sexo,Homem,1.0,6782
2020,2,EM,sexo,Mulher,1.0,6596
2020,3,EF finais,sexo,Homem,1.0,10278
2020,3,EF finais,sexo,Mulher,1.0,9533
2020,3,EF iniciais,sexo,Homem,1.0,12157
2020,3,EF iniciais,sexo,Mulher,1.0,11275
2020,3,EM,sexo,Homem,1.0,6593
2020,3,EM,sexo,Mulher,1.0,6516
2020,4,EF finais,sexo,Homem,1.0,9479
2020,4,EF finais,sexo,Mulher,1.0,8628
2020,4,EF iniciais,sexo,Homem,1.0,10968
2020,4,EF iniciais,sexo,Mulher,1.0,10156
2020,4,EM,sexo,Homem,1.0,6080
2020,4,EM,sexo,Mulher,1.0,5971
2021,1,EF finais,sexo,Homem,1.0,9226
2021,1,EF finais,sexo,Mulher,1.0,8326
