ano,idade,grupo,completed_rate,n
2019,15,Renda > 1/2 SM,0.0,12853
2019,16,Renda > 1/2 SM,0.01344344384085602,12911
2019,17,Renda > 1/2 SM,0.19343289940703629,13365
2019,18,Renda > 1/2 SM,0.5877252380942256,15083
2019,19,Renda > 1/2 SM,0.7540134601725543,16188
2019,20,Renda > 1/2 SM,0.7947580684600674,16157
2019,21,Renda > 1/2 SM,0.8046637754360603,16212
2021,14,Renda > 1/2 SM,0.0,7822
2021,15,Renda > 1/2 SM,0.0,8309
2021,16,Renda > 1/2 SM,0.008152611862197165,8519
2021,17,Renda > 1/2 SM,0.13122635440403818,8653
2021,18,Renda > 1/2 SM,0.5669304275868843,9492
2021,19,Renda > 1/2 SM,0.7409731535046281,9798
2021,20,Renda > 1/2 SM,0.824442381135488,10343
2021,21,Renda > 1/2 SM,0.8443906029235889,11413
2023,14,Renda > 1/2 SM,0.0,9970
2023,15,Renda > 1/2 SM,0.0,10334
2023,16,Renda > 1/2 SM,0.004421573129859091,10796
2023,17,Renda > 1/2 SM,0.11737096217644474,11342
2023,18,Renda > 1/2 SM,0.5544668503301182,12375
2023,19,Renda > 1/2 SM,0.7896059624903472,12230
2023,20,Renda > 1/2 SM,0.8197284921229302,12852
2023,21,Renda > 1/2 SM,0.8329279661620451,13034
2025,14,Renda > 1/2 SM,0.0,11105
2025,15,Renda > 1/2 SM,0.0,11303
2025,16,Renda > 1/2 SM,0.006189368276224232,11453
2025,17,Renda > 1/2 SM,0.11537131972517753,11528
2025,18,Renda > 1/2 SM,0.6118764188401375,12734
2025,19,Renda > 1/2 SM,0.811163677230827,13190
2025,20,Renda > 1/2 SM,0.8403302111677612,13590
2025,21,Renda > 1/2 SM,0.8511548068114173,13291
