ano,idade,quintil,ef,em,n
2015,14,Q1 (mais pobre),0.11638331802185893,0.0,10836
2015,15,Q1 (mais pobre),0.3824196394782022,0.0,10981
2015,16,Q1 (mais pobre),0.5664260428883813,0.00965151124043903,10000
2015,17,Q1 (mais pobre),0.6460962225574888,0.10334772651167666,9484
2015,18,Q1 (mais pobre),0.6962422932248864,0.2567673923182063,8427
2015,19,Q1 (mais pobre),0.7150496441620695,0.3416089008880748,7104
2015,20,Q1 (mais pobre),0.692947032723335,0.39529158634446754,6272
2015,21,Q1 (mais pobre),0.6725437016803106,0.4080855109300596,5418
2015,22,Q1 (mais pobre),0.6538215167648169,0.42837203788755324,5128
2015,23,Q1 (mais pobre),0.6672938893486291,0.4146609152188742,4867
2015,24,Q1 (mais pobre),0.6333604961321743,0.4052160497778831,4686
2015,14,Q2,0.12330030638890359,0.0,9655
2015,15,Q2,0.4156641781156416,0.0,10037
2015,16,Q2,0.5969629077248809,0.013228190893082203,9414
2015,17,Q2,0.6978030344415049,0.11126767300399248,8879
2015,18,Q2,0.7323807907797146,0.2665525182529471,8158
2015,19,Q2,0.7384710803558597,0.3662210217513271,7294
2015,20,Q2,0.7308856821936457,0.4054484763530237,6740
2015,21,Q2,0.7307240225213159,0.4348251811362094,6097
2015,22,Q2,0.7161787485442171,0.42269691867559267,5785
2015,23,Q2,0.7047148692936346,0.43093228915131654,5574
2015,24,Q2,0.6808989653604379,0.41610766632962504,5399
2015,14,Q3,0.192160903951427,0.0,7854
2015,15,Q3,0.5318791037730177,0.0,8761
2015,16,Q3,0.7221934418545598,0.014572443683852923,8446
2015,17,Q3,0.7870948550540674,0.14490265420681991,8080
2015,18,Q3,0.8215831934555645,0.3666720573943617,8148
2015,19,Q3,0.8295833774732715,0.4808669609275769,7963
2015,20,Q3,0.8236708383181286,0.5328757184785116,7581
2015,21,Q3,0.8193967628273895,0.5631277744848677,7063
2015,22,Q3,0.8051207380690005,0.542437995393273,6740
2015,23,Q3,0.8261248732894388,0.5620827194164328,6369
2015,24,Q3,0.8119443611140915,0.5437555154430349,6108
2015,14,Q4,0.23124201712372466,0.0,6773
2015,15,Q4,0.6265779285204149,0.0,7464
2015,16,Q4,0.8183687911788048,0.022787786930882716,7230
2015,17,Q4,0.8754131071549552,0.19153878221131393,7607
2015,18,Q4,0.8908705045876233,0.48948211094324023,8036
2015,19,Q4,0.8939181376758291,0.5920409828988322,7880
2015,20,Q4,0.9049162308353322,0.6691656102762912,8522
2015,21,Q4,0.8949454783116942,0.6731925976807817,7769
2015,22,Q4,0.9005629302274459,0.6785324160072307,7737
2015,23,Q4,0.8858693220518342,0.6927669869061436,7382
2015,24,Q4,0.8827087300841787,0.6901935253476142,7174
2015,14,Q5 (mais rico),0.2910348040776947,0.0,5493
2015,15,Q5 (mais rico),0.7518003197297574,0.0,5968
2015,16,Q5 (mais rico),0.8964344514387128,0.02514916070313166,6166
2015,17,Q5 (mais rico),0.9420714247694228,0.25276568934843446,6438
2015,18,Q5 (mais rico),0.9433931515766616,0.6247701092913307,7341
2015,19,Q5 (mais rico),0.9526331320510254,0.7590926775826232,7889
2015,20,Q5 (mais rico),0.9539502308786251,0.8073964181492995,8593
2015,21,Q5 (mais rico),0.9552624785951311,0.8221712686583175,8407
2015,22,Q5 (mais rico),0.954985891790361,0.8301754445363355,8853
2015,23,Q5 (mais rico),0.9539085738795183,0.847299394632026,8932
2015,24,Q5 (mais rico),0.9568334312918377,0.8518234301990123,9249
2017,14,Q1 (mais pobre),0.1051749408202068,0.0,9315
2017,15,Q1 (mais pobre),0.40000777577521723,0.0,9423
2017,16,Q1 (mais pobre),0.587008074593682,0.008340165099029136,9520
2017,17,Q1 (mais pobre),0.6822481657710315,0.10806147574302355,9052
2017,18,Q1 (mais pobre),0.724474445828041,0.29293873646724544,8123
2017,19,Q1 (mais pobre),0.7415092137694729,0.40659428066076986,7213
2017,20,Q1 (mais pobre),0.7407752432183321,0.4577666878127236,6689
2017,21,Q1 (mais pobre),0.7137497090517358,0.44531695319315506,6047
2017,22,Q1 (mais pobre),0.7132854725892964,0.46707139100189277,5681
2017,23,Q1 (mais pobre),0.6827743423023298,0.4474352460010237,5294
2017,24,Q1 (mais pobre),0.6783899792695426,0.452564256562413,4830
2017,14,Q2,0.1183445223373247,0.0,8915
2017,15,Q2,0.453489192919143,0.0,8990
2017,16,Q2,0.6282536652741615,0.011381885653150833,9251
2017,17,Q2,0.7175544875665228,0.10420904739669457,9002
2017,18,Q2,0.7719005429982208,0.3192334375331352,8312
2017,19,Q2,0.7720859356985402,0.41930288420819456,7310
2017,20,Q2,0.7735596526869678,0.46689391395568913,6691
2017,21,Q2,0.7379841894018927,0.44268565961142603,6247
2017,22,Q2,0.7238031265043581,0.4547084135753341,5870
2017,23,Q2,0.7156656022304039,0.44017637452669556,5665
2017,24,Q2,0.6955124411214006,0.4386925840887466,5106
2017,14,Q3,0.16158039492953183,0.0,6731
2017,15,Q3,0.5276605488328422,0.0,7128
2017,16,Q3,0.7396993918850284,0.012212666831265198,7323
2017,17,Q3,0.8029017649498752,0.13486230730297846,7767
2017,18,Q3,0.8507512876947576,0.4018415742948211,7490
2017,19,Q3,0.8478184281407579,0.5212723474518952,7006
2017,20,Q3,0.8478797903962787,0.5593821533901988,6981
2017,21,Q3,0.8453324205426769,0.575238588389936,6722
2017,22,Q3,0.8397042945552798,0.5963775654487322,6799
2017,23,Q3,0.8357737692479729,0.5846689451683311,6416
2017,24,Q3,0.8116217511369671,0.5750056487927504,5918
2017,14,Q4,0.18744505924663973,0.0,6772
2017,15,Q4,0.6196582642981159,0.0,7038
2017,16,Q4,0.815816085868921,0.014484325904505954,7749
2017,17,Q4,0.8835266658526488,0.18534544338641273,8122
2017,18,Q4,0.922261895155901,0.5215525890402644,8275
2017,19,Q4,0.9162512320364729,0.642395336646599,8192
2017,20,Q4,0.9230823803355026,0.6945857541981492,8439
2017,21,Q4,0.9097524654237529,0.6989546172197558,8205
2017,22,Q4,0.9050274608730324,0.7060605856619196,8476
2017,23,Q4,0.9084156231753553,0.6980221296762483,7833
2017,24,Q4,0.897222326491814,0.708031831531454,7481
2017,14,Q5 (mais rico),0.25286539608517405,0.0,5096
2017,15,Q5 (mais rico),0.7527723420877753,0.0,5524
2017,16,Q5 (mais rico),0.8908883262253707,0.019413085190082897,5931
