ano_t,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_migracao_eja,flag_naoprog,n_pessoa
2012,EF finais,0.6004162863165309,0.31115863957819184,0.039317195194217246,0.012138236238704898,0.362614071011114,23874
2012,EF iniciais,0.6430265561973137,0.324812132689092,0.016881049290242842,0.0021616666987332002,0.34385484867806804,32993
2012,EM,0.4293675505725581,0.18552469257479443,0.26688496595919653,0.014023061161983291,0.4664327196959743,15827
2013,EF finais,0.6189174367324124,0.2955482271003643,0.04092094315029916,0.010278085321086199,0.3467472555717497,22667
2013,EF iniciais,0.6686084653166594,0.302208826049414,0.014512158770332474,0.001811285170974433,0.3185322699907209,30424
2013,EM,0.42845348290063845,0.18339818906588443,0.26897386572425613,0.010690138370984663,0.46306219316112524,15088
2014,EF finais,0.6392153775655646,0.28602251789535255,0.0370858025613859,0.009324381635498537,0.33243270209223696,22762
2014,EF iniciais,0.6950726337588279,0.28012571968378575,0.012863509763129975,0.0011819999385726517,0.2941712293854884,29923
2014,EM,0.4507368598900964,0.17560717598215927,0.26878043327362244,0.010565378608313766,0.4549529878640955,15498
2015,EF finais,0.6679842039495681,0.26940033847407313,0.02939448953982031,0.013174774818208043,0.3119696028321015,16472
2015,EF iniciais,0.7324896671682429,0.2583232218632889,0.0071948880920876595,0.0018026513840302214,0.26732076133940674,21348
2015,EM,0.460443314728987,0.17152651738891472,0.2588241181222409,0.0128775630330872,0.4432281985442428,11184
2016,EF finais,0.6766835991411677,0.265216551203156,0.025558016303154824,0.015697836655262407,0.30647240416157323,24678
2016,EF iniciais,0.7353574639183691,0.25574206616638806,0.0065578477848523215,0.0017817568599874582,0.26408167081122785,31510
2016,EM,0.4592283252125728,0.17099565356786955,0.2606696610332284,0.017203732457461287,0.44886904705855923,16738
2017,EF finais,0.6868786646656532,0.2617223320567164,0.023912555892678176,0.013371301564974666,0.29900618951436925,23842
2017,EF iniciais,0.736596930743712,0.2542554295548756,0.006139035552983231,0.0016738511641565103,0.2620683162720154,30132
2017,EM,0.4617988765611512,0.16772530241398506,0.26324309832874415,0.021746792436883655,0.45271519317961284,15718
2018,EF finais,0.704188643239819,0.2456842783002772,0.022857835368449517,0.012900568535727344,0.28144268220445406,23085
2018,EF iniciais,0.7551587044122041,0.2373583788322338,0.0050639648759455685,0.001633336191222011,0.24405567989940138,29172
2018,EM,0.47871323415480094,0.16139307488830276,0.2589352275499857,0.017933189440405874,0.43826149187869434,14939
2019,EF finais,0.7257849978631963,0.2314434814854481,0.019471508899660393,0.009873683202483096,0.2607886735875916,21619
2019,EF iniciais,0.7720857431660407,0.22171443322684603,0.0050473732738926394,0.0008032901905129075,0.22756509669125158,27123
2019,EM,0.4880929538274515,0.1571569587622311,0.25794354184532964,0.014646116733964478,0.4297466173415252,14166
2020,EF finais,0.6011149324740468,0.3763171135978455,0.012193635987000108,0.002674885293341746,0.3911856348781873,13710
2020,EF iniciais,0.6429749028832213,0.350626114506365,0.006202963142790788,4.713525944640388e-05,0.35687621290860216,15986
2020,EM,0.4127198847104801,0.3634341132687483,0.1749482130898706,0.0064673234353201554,0.5448496497939391,9072
2021,EF finais,0.6762763746939688,0.2953838978799998,0.017388051268209564,0.0033717619174287498,0.3161437110656381,18910
2021,EF iniciais,0.6999691472375383,0.29579293348555846,0.003397049520783708,0.0005003034356726062,0.2996902864420148,21967
2021,EM,0.445135782845814,0.2531732509910783,0.23630893771280925,0.009140987811547653,0.4986231765154352,12388
2022,EF finais,0.5977311351235675,0.3817146532404755,0.011841248625469451,0.00274370415015854,0.3962996060161035,19008
2022,EF iniciais,0.6110113098162323,0.3859199611484314,0.001823725540529498,0.0005739823830789129,0.38831766907203985,22448
2022,EM,0.397260825709863,0.351563835884065,0.1878535695860205,0.004438005752497416,0.5438554112225829,12666
2023,EF finais,0.598746384096194,0.38495477650005194,0.007623243875050961,0.003330760222268572,0.39590878059737145,19183
2023,EF iniciais,0.6170926806696293,0.38023294286090825,0.0022166070746759223,0.0002346088257428268,0.382684158761327,23136
2023,EM,0.41337974180294496,0.33847154775737753,0.18050499365960407,0.004047808659158116,0.5230243500761397,12484
