macroetapa,ano,categoria,valor,abandono,n
EF iniciais,2018,raca,Parda,0.007556538761461245,6638
EF iniciais,2018,raca,Preta,0.005362686112687372,706
EF iniciais,2019,sexo,Homem,0.0059929914939171715,5765
EF iniciais,2019,sexo,Mulher,0.004395024598268253,5258
EF iniciais,2019,raca,Branca,0.0036926872087335444,3867
EF iniciais,2019,raca,Parda,0.006761971380946544,6351
EF iniciais,2019,raca,Preta,0.003200206510082904,715
EF iniciais,2020,sexo,Homem,0.006874963419688309,3693
EF iniciais,2020,sexo,Mulher,0.0045586549039277205,3455
EF iniciais,2020,raca,Branca,0.006628263378053275,2594
EF iniciais,2020,raca,Parda,0.005788630263880988,4072
EF iniciais,2020,raca,Preta,0.0011311942952498886,442
EF iniciais,2021,sexo,Homem,0.005284105900633341,2408
EF iniciais,2021,sexo,Mulher,0.0014242433637420514,2193
EF iniciais,2021,raca,Branca,0.002136474836362308,1619
EF iniciais,2021,raca,Parda,0.004110786841254163,2649
EF iniciais,2021,raca,Preta,0.006383930624335946,296
EF iniciais,2022,sexo,Homem,0.003504576984926869,4499
EF iniciais,2022,sexo,Mulher,0.0011739919587741465,4050
EF iniciais,2022,raca,Branca,0.0008295211546033668,3232
EF iniciais,2022,raca,Parda,0.0033960379136037536,4637
EF iniciais,2022,raca,Preta,0.0046278788832678245,589
EF iniciais,2023,sexo,Homem,0.0025665560981484466,4354
EF iniciais,2023,sexo,Mulher,0.0004578729637887077,4103
EF iniciais,2023,raca,Branca,0.0007994297327451644,3122
EF iniciais,2023,raca,Parda,0.0022274140536449687,4663
EF iniciais,2023,raca,Preta,0.0013602568066172836,577
EF iniciais,2024,sexo,Homem,0.005559956749918201,4711
EF iniciais,2024,sexo,Mulher,0.0017310887259162156,4264
EF iniciais,2024,raca,Branca,0.002698963829199203,3316
EF iniciais,2024,raca,Parda,0.004680932800089307,4899
EF iniciais,2024,raca,Preta,0.0030000272912147786,668
EM,2012,sexo,Homem,0.09022856980278322,2917
EM,2012,sexo,Mulher,0.06781960098548905,3244
EM,2012,raca,Branca,0.07531542739665582,2588
EM,2012,raca,Parda,0.07932496989248398,3186
EM,2012,raca,Preta,0.10306291637017391,354
EM,2013,sexo,Homem,0.08656432095868999,2764
EM,2013,sexo,Mulher,0.05075133928394701,3002
EM,2013,raca,Branca,0.05457508805368114,2334
EM,2013,raca,Parda,0.08134332027385474,3110
EM,2013,raca,Preta,0.06194716421146483,300
EM,2014,sexo,Homem,0.07140095599870187,3023
EM,2014,sexo,Mulher,0.047541068695790736,3147
EM,2014,raca,Branca,0.048600694759747744,2520
EM,2014,raca,Parda,0.0635193072860801,3297
EM,2014,raca,Preta,0.10735938765736948,334
EM,2015,sexo,Homem,0.0745846451162618,3081
EM,2015,sexo,Mulher,0.04921449868782819,2974
EM,2015,raca,Branca,0.04226231214808012,2342
EM,2015,raca,Parda,0.07549678859150943,3392
EM,2015,raca,Preta,0.1024960251532335,295
EM,2016,sexo,Homem,0.06428124045635986,3526
EM,2016,sexo,Mulher,0.04260440306720751,3450
EM,2016,raca,Branca,0.04107787063575038,2553
EM,2016,raca,Parda,0.06314043414143747,3884
EM,2016,raca,Preta,0.06175543398728762,502
EM,2017,sexo,Homem,0.08021077588956273,3483
EM,2017,sexo,Mulher,0.05346170027571638,3444
EM,2017,raca,Branca,0.04964055876504861,2498
EM,2017,raca,Parda,0.07602549722640595,3903
EM,2017,raca,Preta,0.09028019711195735,483
EM,2018,sexo,Homem,0.0712476745764411,3181
