macroetapa,ano,idade_media_abandonados,idade_media_retidos,diff,n_ab,n_rt
EF finais,2012,16.735696392164233,12.877865958107252,3.8578304340569805,438,8864
EF finais,2013,16.17195466148457,12.753338907456268,3.418615754028302,336,8341
EF finais,2014,16.49092481300153,12.753169081810352,3.7377557311911787,364,8491
EF finais,2015,16.145370273921998,12.664166325508901,3.4812039484130963,269,8742
EF finais,2016,16.516582986477417,12.722627282996347,3.7939557034810694,294,9965
EF finais,2017,16.117280853126942,12.698311511595461,3.418969341531481,291,9889
EF finais,2018,16.09213952137966,12.730956334622737,3.3611831867569233,227,9335
EF finais,2019,16.740462126831897,12.677168497622562,4.063293629209335,217,9190
EF finais,2020,15.320207314262131,12.678548573806134,2.6416587404559966,46,6149
EF finais,2021,17.094876375448212,12.795717965845663,4.2991584096025495,43,4356
EF finais,2022,16.749008659190526,12.716296643042856,4.03271201614767,91,7769
EF finais,2023,16.29950325983727,12.6713222480288,3.6281810118084703,54,7411
EF finais,2024,15.644989921889,12.631142995752047,3.013846926136953,130,7574
EF iniciais,2012,12.78666550538589,8.475376058535007,4.311289446850884,248,12273
EF iniciais,2013,11.433876453306532,8.340099264729416,3.093777188577116,174,10529
EF iniciais,2014,12.685190829634772,8.307343997649685,4.377846831985087,141,10749
EF iniciais,2015,13.051328314660633,8.23038550853588,4.820942806124753,90,10994
EF iniciais,2016,13.235830794959588,8.290863189481843,4.9449676054777445,91,12030
EF iniciais,2017,13.017182590682578,8.187868816149342,4.829313774533237,90,11874
EF iniciais,2018,12.1340786770925,8.202001743747402,3.9320769333450976,88,11422
EF iniciais,2019,11.550504949446381,8.129813973606966,3.420690975839415,65,10958
EF iniciais,2020,8.502907862033211,8.08071425955862,0.42219360247459115,49,7099
EF iniciais,2021,9.756665220994782,8.338119415377435,1.418545805617347,21,4580
EF iniciais,2022,15.437962192595958,8.175937679726031,7.262024512869926,33,8516
EF iniciais,2023,12.016651928047054,8.218060458326175,3.798591469720879,16,8441
EF iniciais,2024,11.15040680671781,8.209559744040437,2.9408470626773724,33,8942
EM,2012,18.079166453099962,16.106910928561017,1.9722555245389444,470,5691
EM,2013,17.818674944267695,16.054594131872868,1.7640808123948268,405,5361
EM,2014,18.053472184407227,16.102137413439106,1.9513347709681206,384,5786
EM,2015,18.072507904997124,16.066870798784,2.0056371062131255,411,5644
EM,2016,17.849258407878406,16.108837342162484,1.7404210657159211,427,6549
EM,2017,18.141148625814015,16.145808136003623,1.995340489810392,473,6454
EM,2018,17.99667727988571,16.133283121974397,1.863394157911312,365,5939
EM,2019,17.760050603627455,16.152100886506,1.607949717121457,369,5813
EM,2020,18.5766566714704,16.148938800842398,2.427717870628001,78,4116
EM,2021,18.765865436482578,16.361287308578603,2.4045781279039744,88,2996
EM,2022,18.45145153235417,16.265594748868622,2.185856783485548,207,4953
EM,2023,17.84542515810021,16.177275251551915,1.6681499065482939,140,5024
EM,2024,17.24561589931831,16.110671859998288,1.1349440393200219,291,4963
