ano,idade,raca,sexo,em,n
2017,21,Preta,Mulher,0.6174863772164825,1275
2017,22,Branca,Homem,0.6986939641983702,6458
2017,22,Branca,Mulher,0.8006022474406749,6331
2017,22,Parda,Homem,0.5537303215403174,10069
2017,22,Parda,Mulher,0.6717094368738746,9792
2017,22,Preta,Homem,0.5170758794486697,1598
2017,22,Preta,Mulher,0.6212304418255367,1388
2017,23,Branca,Homem,0.7065260281970692,6374
2017,23,Branca,Mulher,0.7887697076978745,6122
2017,23,Parda,Homem,0.5442092462764406,9490
2017,23,Parda,Mulher,0.6530895789252508,9377
2017,23,Preta,Homem,0.5370353347046398,1456
2017,23,Preta,Mulher,0.6670148497675746,1331
2017,24,Branca,Homem,0.7187095803661188,6047
2017,24,Branca,Mulher,0.794367720634264,5941
2017,24,Parda,Homem,0.5634481268952046,8875
2017,24,Parda,Mulher,0.6674042141329126,8883
2017,24,Preta,Homem,0.5555810323482647,1385
2017,24,Preta,Mulher,0.6583049055028546,1361
2019,14,Branca,Homem,0.0,5872
2019,14,Branca,Mulher,0.0,5677
2019,14,Parda,Homem,0.0,10467
2019,14,Parda,Mulher,0.0,9692
2019,14,Preta,Homem,0.0,1333
2019,14,Preta,Mulher,0.0,1219
2019,15,Branca,Homem,0.0,5891
2019,15,Branca,Mulher,0.0,5725
2019,15,Parda,Homem,0.0,10634
2019,15,Parda,Mulher,0.0,9578
2019,15,Preta,Homem,0.0,1389
2019,15,Preta,Mulher,0.0,1217
2019,16,Branca,Homem,0.007488990758846847,5805
2019,16,Branca,Mulher,0.014226404171249873,5481
2019,16,Parda,Homem,0.007284275125947808,10834
2019,16,Parda,Mulher,0.011611817684656254,9666
2019,16,Preta,Homem,0.005728387050006712,1375
2019,16,Preta,Mulher,0.016986122534157846,1362
2019,17,Branca,Homem,0.1409346440127525,5707
2019,17,Branca,Mulher,0.21369992016619216,5645
2019,17,Parda,Homem,0.1071184630010201,10603
2019,17,Parda,Mulher,0.1559681171754734,9574
2019,17,Preta,Homem,0.09919434224440533,1450
2019,17,Preta,Mulher,0.13697692267667613,1456
2019,18,Branca,Homem,0.4891508648441736,6002
2019,18,Branca,Mulher,0.6191618341311702,5682
2019,18,Parda,Homem,0.3638565887023592,10948
2019,18,Parda,Mulher,0.46830429128480316,9818
2019,18,Preta,Homem,0.3409313513130173,1610
2019,18,Preta,Mulher,0.4812938030158125,1522
2019,19,Branca,Homem,0.6825692092544898,6258
2019,19,Branca,Mulher,0.7705116962004408,5876
2019,19,Parda,Homem,0.4972373726841214,10577
2019,19,Parda,Mulher,0.624715724670141,9712
2019,19,Preta,Homem,0.4791018754039981,1632
2019,19,Preta,Mulher,0.6405380218383968,1463
2019,20,Branca,Homem,0.7435236652188425,5727
2019,20,Branca,Mulher,0.8051145618501858,5833
2019,20,Parda,Homem,0.5561521544121821,9676
2019,20,Parda,Mulher,0.6837578962164623,9100
2019,20,Preta,Homem,0.5488058301931291,1623
2019,20,Preta,Mulher,0.6880326978069915,1468
2019,21,Branca,Homem,0.743718024075702,5629
2019,21,Branca,Mulher,0.823178997075908,5595
2019,21,Parda,Homem,0.5971015533900477,9257
2019,21,Parda,Mulher,0.6763635492439003,8813
2019,21,Preta,Homem,0.5743518210980267,1584
2019,21,Preta,Mulher,0.692984549484151,1389
2019,22,Branca,Homem,0.7512990368270991,5865
2019,22,Branca,Mulher,0.8236855392130877,5772
2019,22,Parda,Homem,0.6097775180173937,9193
2019,22,Parda,Mulher,0.6844305109469471,9240
2019,22,Preta,Homem,0.5885980915415777,1605
2019,22,Preta,Mulher,0.7020920939730195,1378
2019,23,Branca,Homem,0.7502644905882451,5763
2019,23,Branca,Mulher,0.8236636245516155,5860
2019,23,Parda,Homem,0.5946660982844321,9240
2019,23,Parda,Mulher,0.7044583765138732,8933
2019,23,Preta,Homem,0.5899516201582986,1573
2019,23,Preta,Mulher,0.663118214903577,1401
2019,24,Branca,Homem,0.7482380370912819,5823
2019,24,Branca,Mulher,0.829299535324695,5862
2019,24,Parda,Homem,0.589649333143505,8672
2019,24,Parda,Mulher,0.6894270419135239,8591
2019,24,Preta,Homem,0.5855902343985133,1454
2019,24,Preta,Mulher,0.6846450780499218,1380
2021,14,Branca,Homem,0.0,4121
2021,14,Branca,Mulher,0.0,4006
2021,14,Parda,Homem,0.0,7174
2021,14,Parda,Mulher,0.0,6584
2021,14,Preta,Homem,0.0,868
2021,14,Preta,Mulher,0.0,728
2021,15,Branca,Homem,0.0,4316
2021,15,Branca,Mulher,0.0,4176
2021,15,Parda,Homem,0.0,7151
2021,15,Parda,Mulher,0.0,6722
2021,15,Preta,Homem,0.0,873
2021,15,Preta,Mulher,0.0,754
2021,16,Branca,Homem,0.004484704096969328,4239
2021,16,Branca,Mulher,0.006728939177930367,4241
2021,16,Parda,Homem,0.005093723316561056,7285
2021,16,Parda,Mulher,0.008255799430632607,6571
2021,16,Preta,Homem,0.002324551954118797,1009
2021,16,Preta,Mulher,0.004688871905827329,819
2021,17,Branca,Homem,0.11845823966124361,4153
2021,17,Branca,Mulher,0.14926244306148476,4019
2021,17,Parda,Homem,0.07018087367650361,7225
2021,17,Parda,Mulher,0.08677009887227005,6405
2021,17,Preta,Homem,0.03959170541002669,1055
2021,17,Preta,Mulher,0.08199782977220207,849
2021,18,Branca,Homem,0.4956385920477203,4212
2021,18,Branca,Mulher,0.5875746273423099,4267
2021,18,Parda,Homem,0.34612548975723856,7331
2021,18,Parda,Mulher,0.4511514250063512,6310
2021,18,Preta,Homem,0.28374823129987564,1021
2021,18,Preta,Mulher,0.42397675714251054,947
2021,19,Branca,Homem,0.6827330411690147,4066
2021,19,Branca,Mulher,0.7670352497717711,3878
2021,19,Parda,Homem,0.517835185173941,6723
2021,19,Parda,Mulher,0.6145071732375563,6225
2021,19,Preta,Homem,0.5280087306661503,1142
2021,19,Preta,Mulher,0.6140213117533855,954
2021,20,Branca,Homem,0.7480569013047693,4159
2021,20,Branca,Mulher,0.8340778878187165,3979
2021,20,Parda,Homem,0.6223105413974962,6908
2021,20,Parda,Mulher,0.7031932860887801,6202
2021,20,Preta,Homem,0.6101167456274613,1087
2021,20,Preta,Mulher,0.7030958782436026,997
2021,21,Branca,Homem,0.782067579407927,4260
2021,21,Branca,Mulher,0.8450627122312278,4292
2021,21,Parda,Homem,0.6535118265725985,6808
2021,21,Parda,Mulher,0.7174396433562285,6269
2021,21,Preta,Homem,0.5954263825894315,1103
2021,21,Preta,Mulher,0.7507301899128187,1007
2021,22,Branca,Homem,0.7682671737550415,4132
2021,22,Branca,Mulher,0.8368000159628283,3967
2021,22,Parda,Homem,0.6504224105450802,6061
2021,22,Parda,Mulher,0.7216561018916097,5860
2021,22,Preta,Homem,0.6587733849802871,1111
2021,22,Preta,Mulher,0.812461062834024,973
2021,23,Branca,Homem,0.7816774965277653,4035
2021,23,Branca,Mulher,0.8586278075124743,3830
2021,23,Parda,Homem,0.6414538436463988,6098
2021,23,Parda,Mulher,0.725050755469334,5928
2021,23,Preta,Homem,0.6213404385691791,1048
2021,23,Preta,Mulher,0.7589066496539534,1016
2021,24,Branca,Homem,0.7886072322065748,3945
2021,24,Branca,Mulher,0.8590836809409654,3923
2021,24,Parda,Homem,0.6372545798965196,5801
2021,24,Parda,Mulher,0.7365077306563086,5796
2021,24,Preta,Homem,0.6833762204568468,1016
2021,24,Preta,Mulher,0.7569576662469376,1014
2023,14,Branca,Homem,0.0,4590
2023,14,Branca,Mulher,0.0,4679
2023,14,Parda,Homem,0.0,8028
2023,14,Parda,Mulher,0.0,7404
2023,14,Preta,Homem,0.0,1172
2023,14,Preta,Mulher,0.0,1040
2023,15,Branca,Homem,0.0,4786
2023,15,Branca,Mulher,0.0,4696
2023,15,Parda,Homem,0.0,8265
2023,15,Parda,Mulher,0.0,7468
2023,15,Preta,Homem,0.0,1177
2023,15,Preta,Mulher,0.0,1093
2023,16,Branca,Homem,0.0023626287250379445,4754
2023,16,Branca,Mulher,0.010809233715117775,4599
2023,16,Parda,Homem,0.0037919050171025793,8379
2023,16,Parda,Mulher,0.005246022488373626,7636
2023,16,Preta,Homem,0.0009623405478399932,1341
2023,16,Preta,Mulher,0.001238666633642077,1154
2023,17,Branca,Homem,0.09708568744143165,4956
2023,17,Branca,Mulher,0.12557011748363175,4716
2023,17,Parda,Homem,0.07016629924031702,8367
2023,17,Parda,Mulher,0.09144806620730186,7421
2023,17,Preta,Homem,0.04727659009371496,1423
2023,17,Preta,Mulher,0.06625939532575667,1192
2023,18,Branca,Homem,0.5348487333568671,4942
2023,18,Branca,Mulher,0.5628789678183526,4744
2023,18,Parda,Homem,0.37857821216648285,8122
2023,18,Parda,Mulher,0.46499290234653073,7275
2023,18,Preta,Homem,0.34333375844624897,1405
2023,18,Preta,Mulher,0.46407161988562845,1118
2023,19,Branca,Homem,0.7244149303941606,4597
2023,19,Branca,Mulher,0.7949047165930366,4421
2023,19,Parda,Homem,0.5899563738116576,7514
2023,19,Parda,Mulher,0.6773168062902817,6519
2023,19,Preta,Homem,0.5830926419325282,1346
2023,19,Preta,Mulher,0.7026796548446484,1196
2023,20,Branca,Homem,0.7521760654518479,4621
2023,20,Branca,Mulher,0.8473341908503176,4519
2023,20,Parda,Homem,0.6310659270951858,7380
2023,20,Parda,Mulher,0.7403314854407715,6602
2023,20,Preta,Homem,0.6166906675644425,1331
2023,20,Preta,Mulher,0.7236269857102254,1243
2023,21,Branca,Homem,0.7839181315471343,4536
2023,21,Branca,Mulher,0.8512693991785716,4577
2023,21,Parda,Homem,0.6515495311468052,6930
2023,21,Parda,Mulher,0.7531292937418157,6556
2023,21,Preta,Homem,0.637709990960551,1343
2023,21,Preta,Mulher,0.7058226129132275,1237
2023,22,Branca,Homem,0.8019398088025678,4835
2023,22,Branca,Mulher,0.859709047902756,4596
2023,22,Parda,Homem,0.6587348752822348,7063
2023,22,Parda,Mulher,0.7416178391602324,6938
2023,22,Preta,Homem,0.6448391326115683,1460
2023,22,Preta,Mulher,0.7689794857164951,1284
2023,23,Branca,Homem,0.798015033332019,4897
2023,23,Branca,Mulher,0.8581833048430794,4823
2023,23,Parda,Homem,0.6639608237102443,7337
2023,23,Parda,Mulher,0.7316400745051137,7066
2023,23,Preta,Homem,0.6543948493306166,1527
2023,23,Preta,Mulher,0.7233675599893881,1427
2023,24,Branca,Homem,0.7915939135364981,4421
2023,24,Branca,Mulher,0.8554397755161817,4564
2023,24,Parda,Homem,0.6781536018359752,6678
2023,24,Parda,Mulher,0.7591312360866951,6604
2023,24,Preta,Homem,0.6571107349427551,1508
2023,24,Preta,Mulher,0.7626041458686134,1293
2025,14,Branca,Homem,0.0,4886
2025,14,Branca,Mulher,0.0,4673
2025,14,Parda,Homem,0.0,7847
2025,14,Parda,Mulher,0.0,7285
2025,14,Preta,Homem,0.0,1183
2025,14,Preta,Mulher,0.0,1032
2025,15,Branca,Homem,0.0,4707
2025,15,Branca,Mulher,0.0,5027
2025,15,Parda,Homem,0.0,7883
2025,15,Parda,Mulher,0.0,7313
2025,15,Preta,Homem,0.0,1239
