ano,serie,categoria,valor,defasado,n
2019,1o EM,raca,Parda,0.22045497809571227,4083
2019,1o EM,raca,Preta,0.2757073636482332,559
2019,1o EM,sexo,Homem,0.24027575024196765,3728
2019,1o EM,sexo,Mulher,0.15511722706884906,3513
2020,1o EM,raca,Branca,0.13089737952407257,1865
2020,1o EM,raca,Parda,0.213145849273874,2809
2020,1o EM,raca,Preta,0.3126532382402319,348
2020,1o EM,sexo,Homem,0.22958912599909204,2638
2020,1o EM,sexo,Mulher,0.14403204533380834,2434
2021,1o EM,raca,Branca,0.15479163921541236,1676
2021,1o EM,raca,Parda,0.23844695134236255,2615
2021,1o EM,raca,Preta,0.2832745315313618,321
2021,1o EM,sexo,Homem,0.23342664879990402,2407
2021,1o EM,sexo,Mulher,0.1816813569466032,2251
2022,1o EM,raca,Branca,0.12994824721955217,2239
2022,1o EM,raca,Parda,0.17865090768984565,3461
2022,1o EM,raca,Preta,0.2027768018760326,510
2022,1o EM,sexo,Homem,0.19642185729944425,3201
2022,1o EM,sexo,Mulher,0.12388219749758608,3062
2023,1o EM,raca,Branca,0.10030727147373025,2100
2023,1o EM,raca,Parda,0.18316355694513792,3373
2023,1o EM,raca,Preta,0.20843881580970852,486
2023,1o EM,sexo,Homem,0.18038322986077535,3138
2023,1o EM,sexo,Mulher,0.12267499492612656,2877
2024,1o EM,raca,Branca,0.09409109280848232,2214
2024,1o EM,raca,Parda,0.1492601416594596,3412
2024,1o EM,raca,Preta,0.16090061385119145,515
2024,1o EM,sexo,Homem,0.14768919652374582,3174
2024,1o EM,sexo,Mulher,0.10939157061998364,3022
2012,2o EF,raca,Branca,0.07547158102925401,3123
2012,2o EF,raca,Parda,0.13398189179155276,4770
2012,2o EF,raca,Preta,0.1824361517541217,412
2012,2o EF,sexo,Homem,0.12965867393719616,4447
2012,2o EF,sexo,Mulher,0.09158729448362168,3893
2013,2o EF,raca,Branca,0.0518355572179939,2623
2013,2o EF,raca,Parda,0.11010932573864964,4347
2013,2o EF,raca,Preta,0.13092617922926492,305
2013,2o EF,sexo,Homem,0.10503615844783819,3796
2013,2o EF,sexo,Mulher,0.06787620081936419,3505
2014,2o EF,raca,Branca,0.04714714389200761,2578
2014,2o EF,raca,Parda,0.08112041359623275,4243
2014,2o EF,raca,Preta,0.12128761515475847,291
2014,2o EF,sexo,Homem,0.08502396072281844,3832
2014,2o EF,sexo,Mulher,0.04924620855170172,3315
2015,2o EF,raca,Branca,0.04069550139024839,2482
2015,2o EF,raca,Parda,0.06677833663137074,4047
2015,2o EF,raca,Preta,0.10348639273195145,290
2015,2o EF,sexo,Homem,0.06601967645738094,3527
2015,2o EF,sexo,Mulher,0.04822457882087795,3341
2016,2o EF,raca,Branca,0.037261141695923865,2553
2016,2o EF,raca,Parda,0.06653826217365828,4221
2016,2o EF,raca,Preta,0.1012220137946317,368
2016,2o EF,sexo,Homem,0.0576672492916439,3735
2016,2o EF,sexo,Mulher,0.054834287040438016,3453
2017,2o EF,raca,Branca,0.03373365268769246,2558
2017,2o EF,raca,Parda,0.06718115060359364,4064
2017,2o EF,raca,Preta,0.06273506836474947,391
2017,2o EF,sexo,Homem,0.06653614965527187,3597
2017,2o EF,sexo,Mulher,0.037233256683529704,3470
2018,2o EF,raca,Branca,0.029903803607325793,2512
