ano,trim,etapa,freq_rate,n
2014,3,EF finais,1.0,28224
2014,4,EF finais,1.0,28356
2015,1,EF finais,1.0,28668
2015,2,EF finais,1.0,28971
2015,3,EF finais,1.0,29184
2016,1,EF finais,1.0,30756
2016,2,EF finais,1.0,30983
2016,3,EF finais,1.0,30921
2016,4,EF finais,1.0,30942
2017,1,EF finais,1.0,31433
2017,2,EF finais,1.0,30992
2017,3,EF finais,1.0,30706
2017,4,EF finais,1.0,29969
2018,1,EF finais,1.0,30158
2018,2,EF finais,1.0,29626
2018,3,EF finais,1.0,29373
2018,4,EF finais,1.0,28838
2019,1,EF finais,1.0,29157
2019,2,EF finais,1.0,28984
2019,3,EF finais,1.0,29064
2019,4,EF finais,1.0,28487
2020,1,EF finais,1.0,25604
2020,2,EF finais,1.0,19979
2020,3,EF finais,1.0,19811
2020,4,EF finais,1.0,18107
2021,1,EF finais,1.0,17552
2021,2,EF finais,1.0,18816
2021,3,EF finais,1.0,22441
2021,4,EF finais,1.0,23850
2022,1,EF finais,1.0,24581
2022,2,EF finais,1.0,24875
2022,3,EF finais,1.0,25055
2022,4,EF finais,1.0,24503
2023,1,EF finais,1.0,24120
2023,2,EF finais,1.0,24065
2023,3,EF finais,1.0,24196
2023,4,EF finais,1.0,24115
2024,1,EF finais,1.0,24489
2024,2,EF finais,1.0,24547
2024,3,EF finais,1.0,24202
2024,4,EF finais,1.0,18247
2012,1,EF iniciais,1.0,32666
2012,2,EF iniciais,1.0,43399
2012,3,EF iniciais,1.0,42444
2012,4,EF iniciais,1.0,40292
2013,1,EF iniciais,1.0,38267
2013,2,EF iniciais,1.0,38288
2013,3,EF iniciais,1.0,37165
2013,4,EF iniciais,1.0,36304
2014,1,EF iniciais,1.0,35587
2014,2,EF iniciais,1.0,36201
2014,3,EF iniciais,1.0,36637
2014,4,EF iniciais,1.0,36484
2015,1,EF iniciais,1.0,35097
2015,2,EF iniciais,1.0,36016
2015,3,EF iniciais,1.0,37246
2016,1,EF iniciais,1.0,37143
2016,2,EF iniciais,1.0,38048
2016,3,EF iniciais,1.0,39185
2016,4,EF iniciais,1.0,38593
2017,1,EF iniciais,1.0,37431
2017,2,EF iniciais,1.0,37541
2017,3,EF iniciais,1.0,37563
2017,4,EF iniciais,1.0,36904
2018,1,EF iniciais,1.0,36082
2018,2,EF iniciais,1.0,36186
2018,3,EF iniciais,1.0,36739
2018,4,EF iniciais,1.0,36000
2019,1,EF iniciais,1.0,34876
2019,2,EF iniciais,1.0,35024
2019,3,EF iniciais,1.0,35615
2019,4,EF iniciais,1.0,34570
2020,1,EF iniciais,1.0,30203
2020,2,EF iniciais,1.0,23349
2020,3,EF iniciais,1.0,23432
2020,4,EF iniciais,1.0,21124
2021,1,EF iniciais,1.0,19002
2021,2,EF iniciais,1.0,20697
2021,3,EF iniciais,1.0,24872
2021,4,EF iniciais,1.0,26975
2022,1,EF iniciais,1.0,26998
2022,2,EF iniciais,1.0,27832
2022,3,EF iniciais,1.0,28819
2022,4,EF iniciais,1.0,28275
2023,1,EF iniciais,1.0,27112
2023,2,EF iniciais,1.0,27527
2023,3,EF iniciais,1.0,28524
2023,4,EF iniciais,1.0,28471
2024,1,EF iniciais,1.0,28541
2024,2,EF iniciais,1.0,29109
2024,3,EF iniciais,1.0,29471
2024,4,EF iniciais,1.0,22553
2012,1,EJA EF,1.0,712
2012,2,EJA EF,1.0,1018
2012,3,EJA EF,1.0,900
2012,4,EJA EF,1.0,746
2013,1,EJA EF,1.0,833
2013,2,EJA EF,1.0,919
2013,3,EJA EF,1.0,805
2013,4,EJA EF,1.0,629
2014,1,EJA EF,1.0,753
2014,2,EJA EF,1.0,768
2014,3,EJA EF,1.0,729
2014,4,EJA EF,1.0,549
2015,1,EJA EF,1.0,643
2015,2,EJA EF,1.0,759
2015,3,EJA EF,1.0,710
2016,1,EJA EF,1.0,839
2016,2,EJA EF,1.0,1000
2016,3,EJA EF,1.0,821
2016,4,EJA EF,1.0,763
2017,1,EJA EF,1.0,836
2017,2,EJA EF,1.0,1058
2017,3,EJA EF,1.0,941
2017,4,EJA EF,1.0,778
2018,1,EJA EF,1.0,795
2018,2,EJA EF,1.0,875
2018,3,EJA EF,1.0,724
2018,4,EJA EF,1.0,603
2019,1,EJA EF,1.0,623
2019,2,EJA EF,1.0,841
2019,3,EJA EF,1.0,625
2019,4,EJA EF,1.0,523
2020,1,EJA EF,1.0,527
2020,2,EJA EF,1.0,391
2020,3,EJA EF,1.0,383
2020,4,EJA EF,1.0,360
2021,1,EJA EF,1.0,302
2021,2,EJA EF,1.0,318
2021,3,EJA EF,1.0,398
2021,4,EJA EF,1.0,384
2022,1,EJA EF,1.0,370
2022,2,EJA EF,1.0,375
2022,3,EJA EF,1.0,340
2022,4,EJA EF,1.0,278
2023,1,EJA EF,1.0,264
2023,2,EJA EF,1.0,325
2023,3,EJA EF,1.0,311
2023,4,EJA EF,1.0,302
2024,1,EJA EF,1.0,300
2024,2,EJA EF,1.0,332
2024,3,EJA EF,1.0,340
2024,4,EJA EF,1.0,213
2012,1,EJA EM,1.0,483
2012,2,EJA EM,1.0,636
2012,3,EJA EM,1.0,555
2012,4,EJA EM,1.0,449
2013,1,EJA EM,1.0,634
2013,2,EJA EM,1.0,630
2013,3,EJA EM,1.0,522
2013,4,EJA EM,1.0,424
2014,1,EJA EM,1.0,537
2014,2,EJA EM,1.0,572
2014,3,EJA EM,1.0,535
2014,4,EJA EM,1.0,448
2015,1,EJA EM,1.0,537
2015,2,EJA EM,1.0,572
2015,3,EJA EM,1.0,603
2016,1,EJA EM,1.0,751
2016,2,EJA EM,1.0,940
2016,3,EJA EM,1.0,809
2016,4,EJA EM,1.0,699
2017,1,EJA EM,1.0,789
2017,2,EJA EM,1.0,1008
2017,3,EJA EM,1.0,900
2017,4,EJA EM,1.0,734
2018,1,EJA EM,1.0,825
2018,2,EJA EM,1.0,937
2018,3,EJA EM,1.0,811
2018,4,EJA EM,1.0,683
2019,1,EJA EM,1.0,771
2019,2,EJA EM,1.0,826
2019,3,EJA EM,1.0,708
