ano,n_obs,n_pop_milhoes
2012,805401,69.40780341561867
2013,801127,68.9103918373802
2014,787489,68.3121879572364
2015,765328,67.628616587893
2016,753033,66.95642900930228
2017,735739,66.40954180231218
2018,707797,65.8031848727654
2019,685814,65.30379732448193
2020,471169,64.76579172567743
2021,465910,64.26304178267698
2022,566577,63.823937266991535
2023,551443,63.255165972853895
2024,550396,62.601733851711465
2025,546743,61.90261150062254
