ano_base,macroetapa_t,n,prom_Q1,rep_Q1,evas_Q1,prom_Q2p,rep_Q2p,evas_Q2p
2012,EF finais,14483.0,0.520129443438934,0.2811825268596154,0.0,0.518645694540912,0.25542908674394954,0.0
2012,EF iniciais,19590.0,0.5757200663270331,0.28732430180402024,0.0,0.5708327166383347,0.2570330294064632,0.0
2012,EM,6698.0,0.5791706001475431,0.33876610929168305,0.0,0.596659971694689,0.31149574193729346,0.0
2013,EF finais,13677.0,0.5502138681873359,0.2566730503764422,0.0,0.5415028459010294,0.24805866180741695,0.0
2013,EF iniciais,18261.0,0.6027028120125255,0.26491844978606993,0.0,0.6032543834479754,0.24856516055942393,0.0
2013,EM,6381.0,0.5874935612735322,0.3263342984870365,0.0,0.6096437153961989,0.30231964312547116,0.0
2014,EF finais,14165.0,0.5999025853804006,0.24394351374152864,0.0,0.5908880751295158,0.2363251992617447,0.0
2014,EF iniciais,18427.0,0.6405644860114206,0.24403950439959246,0.0,0.6332241362439329,0.23069953963768824,0.0
2014,EM,6504.0,0.6427474688416366,0.2865752286484159,0.0,0.6403103116715895,0.2852372601796801,0.0
2015,EF finais,9485.0,0.6403311318132318,0.2091132287679991,0.0,0.6438634819415193,0.1857238366361775,0.0
2015,EF iniciais,12528.0,0.699056709680621,0.19100658995429065,0.0,0.6928091490461777,0.1783936665818204,0.0
2015,EM,4212.0,0.6945394293914265,0.23176076846355578,0.0,0.6881627189998455,0.2234311037201853,0.0
2016,EF finais,16022.0,0.6273522981413449,0.23961300536094898,0.0,0.6391000386310631,0.22559160182899038,0.0
2016,EF iniciais,20084.0,0.6635560735057724,0.23852429422595434,0.0,0.6813061210505372,0.2161044745300128,0.0
2016,EM,7464.0,0.6111757791055277,0.3080699004151266,0.0,0.629695638223236,0.285409456268496,0.0
2017,EF finais,15403.0,0.6250329756530766,0.27236494633698466,0.0,0.6231153755786504,0.2575333435003308,0.0
2017,EF iniciais,19462.0,0.6621489814514726,0.2584018065363174,0.0,0.66967478195518,0.24234852718219058,0.0
2017,EM,7008.0,0.5922735512512769,0.3388626633797248,0.0,0.5981785009621492,0.3256745398414467,0.0
2018,EF finais,15029.0,0.6504666637072918,0.25364799544621236,0.0,0.6446428803660663,0.24738961904423204,0.0
2018,EF iniciais,18797.0,0.6767157072047324,0.2413014741032893,0.0,0.6901104520375183,0.22054843462608936,0.0
2018,EM,6891.0,0.6186959971924012,0.3126536653183847,0.0,0.6386955918603011,0.29549221467181913,0.0
2019,EF finais,12322.0,0.6687208000446014,0.2309741844458018,0.0,0.6944495022915832,0.20739781374105964,0.0
2019,EF iniciais,15044.0,0.7175960460737149,0.21556649026943164,0.0,0.7371115039187064,0.19196168894661156,0.0
2019,EM,5768.0,0.6229829766096578,0.31419704898665546,0.0,0.6429354164471872,0.29269575530860625,0.0
2020,EF finais,7967.0,0.49839713327269064,0.46638303119002816,0.0,0.5953392032181286,0.34343319294730335,0.0
2020,EF iniciais,9218.0,0.5191867403134213,0.4563852466611346,0.0,0.6359837563908749,0.3132672874556235,0.0
2020,EM,4318.0,0.3972485745542246,0.5752094145635739,0.0,0.49355994985310414,0.46456638169902914,0.0
2021,EF finais,12082.0,0.6051334128659175,0.3506282132859654,0.0,0.665553157763354,0.2676014597572346,0.0
2021,EF iniciais,13732.0,0.6174497073177091,0.345603963683026,0.0,0.6880913445832858,0.24703081694392112,0.0
2021,EM,5757.0,0.5343114480805917,0.43925094113348295,0.0,0.6110204828126673,0.3484843416296794,0.0
2022,EF finais,12400.0,0.49918185672985593,0.47295905601514876,0.0,0.5783724575077224,0.37853985272879515,0.0
2022,EF iniciais,14481.0,0.5025657357252614,0.45922943303655755,0.0,0.5821166338669942,0.36227001266063613,0.0
2022,EM,6381.0,0.42761829138793483,0.5578032733476521,0.0,0.5166002420378446,0.45893834578678067,0.0
2023,EF finais,12946.0,0.512741894404542,0.4582883354995908,0.0,0.5909803399509707,0.36317806597536345,0.0
2023,EF iniciais,15440.0,0.522121315111194,0.4491327134557739,0.0,0.6068486458340668,0.3482972663740297,0.0
2023,EM,6380.0,0.44144849595040964,0.5385864895427063,0.0,0.5278425884299691,0.44077881492589344,0.0
